55 0 81 0 -6 11 25 88 64 4
56 0 96 0 52 -4 40 44 4 4
50 -1 89 -7 50 0 39 40 2 1
53 9 79 0 42 -2 25 37 12 4
55 2 82 0 54 -6 26 28 2 1
41 0 84 3 38 -4 43 45 2 1
37 0 100 0 36 -8 63 64 2 1
46 0 83 0 46 0 37 36 0 1
44 0 79 0 42 -17 35 37 2 1
44 -1 78 0 44 0 34 34 0 1
55 0 81 0 54 -10 25 26 2 1
56 0 95 0 52 -3 40 44 4 4
37 0 100 0 34 6 64 67 4 1
43 -3 86 2 44 14 43 42 0 1
46 -5 84 0 46 0 38 37 0 1
45 0 81 0 44 0 36 37 0 1
48 0 86 0 50 30 38 37 0 1
56 0 78 0 42 -2 22 37 14 4
56 0 77 0 18 -18 22 59 38 4
45 5 90 0 44 0 44 46 2 1
37 0 77 0 -20 27 41 98 58 1
37 0 90 -6 18 0 53 72 20 1
37 -8 77 0 20 0 40 57 16 1
50 5 95 -3 50 0 45 46 2 1
43 -2 76 0 44 15 32 32 0 1
42 -1 85 -5 42 0 44 44 0 1
55 0 97 0 46 -2 42 51 8 4
37 0 76 0 26 20 39 50 12 1
37 0 76 8 30 0 40 45 6 1
45 0 106 0 46 9 61 60 0 1
37 0 81 0 38 17 44 43 0 1
49 4 83 0 46 0 34 37 2 1
50 0 88 1 50 0 38 39 0 1
42 2 77 0 42 0 36 36 0 1
49 0 78 0 50 11 29 29 0 1
55 0 95 0 44 -12 40 51 12 4
37 0 77 0 34 -12 40 43 2 1
37 3 81 0 36 0 44 44 0 1
37 0 84 0 26 -3 47 58 10 1
53 0 86 0 54 0 33 32 0 1
44 0 81 -3 44 17 37 37 0 1
46 0 81 7 46 3 35 34 0 1
45 -4 83 0 44 -14 37 39 2 1
79 0 84 0 -36 -196 4 120 116 5
81 0 84 0 -20 26 3 105 102 5
55 -5 87 2 54 0 32 33 0 1
45 0 89 -3 44 0 44 45 0 1
51 0 86 0 52 22 35 34 0 1
80 0 84 -1 -28 -24 4 112 108 5
53 0 87 -6 52 -7 34 35 2 1
56 0 86 0 56 2 30 30 0 1
49 0 87 0 50 1 38 38 0 1
55 0 97 5 46 -19 41 50 8 4
56 0 96 0 56 10 40 39 0 1
37 0 95 0 18 -24 57 77 20 1
48 0 86 -4 46 0 39 40 2 1
108 3 109 0 72 7 1 36 36 5
41 5 93 0 38 0 53 55 2 1
85 0 88 7 2 0 3 86 82 5
55 0 78 1 26 0 23 52 30 4
56 3 77 0 -24 0 21 103 82 4
56 0 85 0 56 15 29 28 0 1
81 0 84 0 -20 -17 4 105 102 5
53 0 88 0 52 -4 35 37 2 1
37 0 78 0 -6 -5 42 86 44 1
41 5 80 0 42 7 39 39 0 1
45 2 108 0 44 0 63 64 2 1
48 2 89 0 46 0 41 42 2 1
56 0 95 0 50 -26 39 46 6 4
55 0 77 0 8 -18 22 70 48 4
49 0 85 0 46 -5 36 39 2 1
44 0 76 2 42 -29 32 34 2 1
49 0 95 4 50 0 46 46 0 1
51 0 88 0 52 8 36 36 0 1
56 0 97 0 44 6 41 53 12 4
49 3 95 0 46 -9 47 49 2 1
40 0 84 6 38 0 44 45 2 1
59 0 86 -2 60 18 27 26 0 1
37 0 108 15 26 -1 71 82 12 1
37 0 104 0 28 1 66 75 8 1
55 1 83 0 54 0 28 29 0 1
43 0 97 0 42 -9 53 55 2 1
45 -1 83 0 44 0 38 39 0 1
37 0 76 -7 20 -6 39 55 16 1
38 0 81 0 36 -30 43 45 2 1
37 0 77 0 30 -9 40 46 6 1
37 0 102 0 36 0 64 66 2 1
52 5 78 -1 52 0 26 26 0 1
43 0 88 0 42 -11 45 47 2 1
42 0 86 1 42 0 45 45 0 1
53 0 79 0 52 -26 26 27 2 1
37 0 74 -7 28 0 37 46 8 1
55 0 96 2 46 0 41 50 8 4
58 0 79 0 56 0 21 22 0 1
41 -1 84 -3 42 -1 43 43 0 1
56 0 97 3 50 -8 41 48 6 4
37 0 79 0 20 1 42 58 16 1
41 0 88 0 42 24 48 47 0 1
44 0 82 6 44 0 38 38 0 1
37 0 77 8 36 6 40 41 0 1
