634995,0,463,1,1.0,17.0,7.0,2.0,6.663332499583072,1.0,17.0,5.0,2.0,6.0332412515993425,0.0,10.0,2.0,0.0,4.0,1.0,17.0,7.0,2.0,6.663332499583072,-7.0,17.0,3.0,2.0,7.771743691090179,2,2,0,2,2,2,84,2,0,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
634995,0,463,1,1.0,17.0,7.0,2.0,6.663332499583072,1.0,17.0,5.0,2.0,6.0332412515993425,0.0,10.0,2.0,0.0,4.0,1.0,17.0,7.0,2.0,6.663332499583072,-7.0,17.0,3.0,2.0,7.771743691090179,2,2,0,2,2,13,89,1,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
634995,0,463,1,1.0,17.0,7.0,2.0,6.663332499583072,1.0,17.0,5.0,2.0,6.0332412515993425,0.0,10.0,2.0,0.0,4.0,1.0,17.0,7.0,2.0,6.663332499583072,-7.0,17.0,3.0,2.0,7.771743691090179,1,1,0,1,1,2,154,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
634995,0,463,1,1.0,17.0,7.0,2.0,6.663332499583072,1.0,17.0,5.0,2.0,6.0332412515993425,0.0,10.0,2.0,0.0,4.0,1.0,17.0,7.0,2.0,6.663332499583072,-7.0,17.0,3.0,2.0,7.771743691090179,13,3,10,13,-7,30,118,2,0,24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
634995,0,463,1,1.0,17.0,7.0,2.0,6.663332499583072,1.0,17.0,5.0,2.0,6.0332412515993425,0.0,10.0,2.0,0.0,4.0,1.0,17.0,7.0,2.0,6.663332499583072,-7.0,17.0,3.0,2.0,7.771743691090179,17,17,0,17,17,17,183,1,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4394623,0,151766,2,1484.0,1484.0,1484.0,1484.0,0.0,1484.0,1484.0,1484.0,1484.0,0.0,0.0,0.0,0.0,0.0,0.0,1484.0,1484.0,1484.0,1484.0,0.0,1484.0,1484.0,1484.0,1484.0,0.0,1484,1484,0,1484,1484,16,98,1815,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,292
3566966,0,38251,3,0.0,585.0,64.21428571428571,9.0,155.73382904881035,0.0,585.0,63.357142857142854,6.5,156.0529246958302,0.0,9.0,0.8571428571428571,0.0,2.325545799442815,0.0,585.0,64.0,8.5,155.8116995423826,-7.0,585.0,62.5,6.5,156.4059507453966,0,0,0,0,0,39,138,1,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3566966,0,38251,3,0.0,585.0,64.21428571428571,9.0,155.73382904881035,0.0,585.0,63.357142857142854,6.5,156.0529246958302,0.0,9.0,0.8571428571428571,0.0,2.325545799442815,0.0,585.0,64.0,8.5,155.8116995423826,-7.0,585.0,62.5,6.5,156.4059507453966,0,0,0,0,0,20,213,2,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3566966,0,38251,3,0.0,585.0,64.21428571428571,9.0,155.73382904881035,0.0,585.0,63.357142857142854,6.5,156.0529246958302,0.0,9.0,0.8571428571428571,0.0,2.325545799442815,0.0,585.0,64.0,8.5,155.8116995423826,-7.0,585.0,62.5,6.5,156.4059507453966,5,3,2,5,1,25,247,3,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3566966,0,38251,3,0.0,585.0,64.21428571428571,9.0,155.73382904881035,0.0,585.0,63.357142857142854,6.5,156.0529246958302,0.0,9.0,0.8571428571428571,0.0,2.325545799442815,0.0,585.0,64.0,8.5,155.8116995423826,-7.0,585.0,62.5,6.5,156.4059507453966,585,585,0,585,585,10,467,1343,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,47
